lr-AdamW,step,valid/recon/sess0,valid/loss,valid/recon,valid/bps,valid/co_bps,valid/fp_bps,valid/r2,valid/wt_l2,valid/wt_l2/ramp,valid/wt_kl,valid/wt_kl/ic,valid/wt_kl/co,valid/wt_kl/ramp,valid/recon_smth,hp_metric,cur_epoch,hp/lr_init,hp/dropout_rate,hp/l2_ic_enc_scale,hp/l2_ci_enc_scale,hp/l2_gen_scale,hp/l2_con_scale,hp/kl_co_scale,hp/kl_ic_scale,hp/weight_decay,hp/cd_rate,epoch,train/recon/sess0,train/loss,train/recon,train/bps,train/co_bps,train/fp_bps,train/r2,train/wt_l2,train/wt_l2/ramp,train/wt_kl,train/wt_kl/ic,train/wt_kl/co,train/wt_kl/ramp
0.004,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,0.3245718777179718,3245.746337890625,0.3245718777179718,-1.0,-1.0,-1.0,nan,0.0,0.012345679104328156,0.00022268241445999593,3.850390203297138e-05,0.00018417849787510931,0.012345679104328156,0.5646770000457764,0.3245718777179718,0.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,0,,,,,,,,,,,,,
,5,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.8017892837524414,8017.9140625,0.8017892837524414,-1.0,-1.0,-1.0,nan,0.0,0.012345679104328156,0.00017180042050313205,2.3676077034906484e-05,0.00014812435256317258,0.012345679104328156
0.004,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,0.23843522369861603,2384.393798828125,0.23843522369861603,-0.18016374111175537,-0.1908876895904541,-0.2365935891866684,nan,0.0,0.02469135820865631,0.00016806722851470113,1.7307278540101834e-05,0.0001507599517935887,0.02469135820865631,0.3363077640533447,0.23843522369861603,1.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,1,,,,,,,,,,,,,
,11,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.27736416459083557,2773.685302734375,0.27736416459083557,-0.6893677711486816,-0.7312881350517273,-0.736676037311554,nan,0.0,0.02469135820865631,0.00017613050295040011,2.68798103206791e-05,0.0001492506853537634,0.02469135820865631
0.004,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,0.2323610484600067,2323.6298828125,0.2323610484600067,-0.06333449482917786,-0.03902347385883331,-0.13712452352046967,nan,0.0,0.03703703731298447,5.18743836437352e-05,1.1047216503357049e-05,4.082716259290464e-05,0.03703703731298447,0.26354506611824036,0.2323610484600067,2.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,2,,,,,,,,,,,,,
,17,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.24167096614837646,2416.7529296875,0.24167096614837646,-0.25252091884613037,-0.23168019950389862,-0.30180323123931885,nan,0.0,0.037037041038274765,0.00011675954010570422,1.759846963977907e-05,9.916107956087217e-05,0.037037041038274765
0.004,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
