lr-AdamW,step,valid/recon/sess0,valid/loss,valid/recon,valid/bps,valid/co_bps,valid/fp_bps,valid/r2,valid/wt_l2,valid/wt_l2/ramp,valid/wt_kl,valid/wt_kl/ic,valid/wt_kl/co,valid/wt_kl/ramp,valid/recon_smth,hp_metric,cur_epoch,hp/lr_init,hp/dropout_rate,hp/l2_ic_enc_scale,hp/l2_ci_enc_scale,hp/l2_gen_scale,hp/l2_con_scale,hp/kl_co_scale,hp/kl_ic_scale,hp/weight_decay,hp/cd_rate,epoch,train/recon/sess0,train/loss,train/recon,train/bps,train/co_bps,train/fp_bps,train/r2,train/wt_l2,train/wt_l2/ramp,train/wt_kl,train/wt_kl/ic,train/wt_kl/co,train/wt_kl/ramp
0.004,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,0.23973745107650757,2397.427978515625,0.23973745107650757,-0.8852500915527344,nan,nan,nan,0.0,0.012345679104328156,0.0004335788544267416,3.1719748221803457e-05,0.0004018590843770653,0.012345679104328156,0.48351967334747314,0.23973745107650757,0.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,0,,,,,,,,,,,,,
,5,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.5664448142051697,5664.47314453125,0.5664448142051697,-1.0,nan,nan,nan,0.0,0.012345679104328156,0.0002017339429585263,2.6502983018872328e-05,0.0001752309617586434,0.012345679104328156
0.004,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,0.2118912786245346,2119.418212890625,0.2118912786245346,-0.20750270783901215,nan,nan,nan,0.0,0.02469135820865631,0.002046136884018779,1.6165153283509426e-05,0.002029971918091178,0.02469135820865631,0.2933797836303711,0.2118912786245346,1.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,1,,,,,,,,,,,,,
,11,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.22679771482944489,2268.217041015625,0.22679771482944489,-0.5926398634910583,nan,nan,nan,0.0,0.02469135820865631,0.0009716576896607876,2.2028456442058086e-05,0.0009496292914263904,0.02469135820865631
0.004,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,0.2049977332353592,2050.173828125,0.2049977332353592,-0.039613544940948486,nan,nan,nan,0.0,0.03703703731298447,0.0005301901255734265,1.6657371816108935e-05,0.0005135327810421586,0.03703703731298447,0.23151233792304993,0.2049977332353592,2.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,2,,,,,,,,,,,,,
,17,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.21386174857616425,2139.10498046875,0.21386174857616425,-0.2634298801422119,nan,nan,nan,0.0,0.037037041038274765,0.0013157487846910954,1.817873453546781e-05,0.0012975699501112103,0.037037041038274765
0.004,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
